flight_no,start_city,departure_time,end_city,arrival_time,fare,airline
0,Mumbai,0,Delhi,30,5000,IndiGo
1,Mumbai,0,Bangalore,80,7000,AirIndia
2,Delhi,40,Chennai,60,2000,Vistara
3,Delhi,50,Chennai,100,3000,SpiceJet
4,Chennai,120,Hyderabad,200,4000,IndiGo
5,Bangalore,100,Hyderabad,150,6000,AirAsia
6,Bangalore,100,Hyderabad,250,4500,AkasaAir
7,Pune,20,Delhi,60,2500,Vistara
8,Delhi,80,Hyderabad,140,3500,IndiGo
9,Mumbai,10,Chennai,90,4500,AirIndia
10,Chennai,110,Hyderabad,170,3000,SpiceJet
11,Mumbai,30,Goa,70,2000,AkasaAir
12,Goa,90,Hyderabad,180,3500,IndiGo
13,Bangalore,120,Kolkata,220,5000,Vistara
14,Kolkata,240,Hyderabad,320,4000,AirIndia
15,Mumbai,15,Ahmedabad,50,2200,IndiGo
16,Ahmedabad,70,Delhi,120,2800,SpiceJet
17,Delhi,140,Lucknow,190,1500,AirAsia
18,Lucknow,210,Hyderabad,300,3500,Vistara
19,Pune,40,Bangalore,100,3000,IndiGo
20,Bangalore,130,Chennai,180,1800,AkasaAir
21,Goa,100,Chennai,160,2500,AirIndia
22,Chennai,190,Kolkata,260,4500,Vistara
23,Kolkata,280,Delhi,340,3000,SpiceJet
24,Delhi,360,Mumbai,420,5500,IndiGo
25,Ahmedabad,90,Goa,160,3200,AirAsia
26,Goa,180,Bangalore,240,2800,AkasaAir
27,Mumbai,50,Jaipur,110,4000,Vistara
28,Jaipur,130,Delhi,170,1800,IndiGo
29,Jaipur,200,Hyderabad,310,5000,AirIndia
